text,emotion
남자친구랑 싸우는 날이 계속 늘어나서 우울증이 생겼어. 아무것도 못 하겠고 하기 싫어. 시험공부랑 수행평가 준비도 해야 하는데 흥미도 없고 무기력할 뿐이야. 아무래도 학교 상담실에서 상담을 받아봐야겠어. 비밀 보장도 잘해준다고 들었어.,depression
아내가 오래전부터 담배를 끊으라고 해서 끊고 많이 힘들었는데 이제는 몸도 가볍고 정신도 맑아서 좋아. 몇 달만 힘들고 이제는 너무 좋아. 건강이 최고인 것 같아. 아내가 조언해주는 말도 그대로 듣고 운동도 자주 해보려고.,joy
나이가 들면서 건강이 나빠지지 않을까 우울해지네. 응 최근에 무릎 관절염으로 고생 중이거든. 퇴행성관절염이라고 나이는 육십 대인데 무릎은 팔십 대라고 하네요.,depression
학교에서 내 물건을 아무렇지도 않게 부수거나 가져가는 애들이 너무 원망스러워. 나도 다 용돈 조금씩 모아서 산 것들인데 어떻게 해야 해결할 수 있을지 고민이야. 아무래도 학교에 좋은 물건을 가져가지 않는 것이 제일 좋은 방법 같아.,sadness
집 안에서만 주로 생활하다 보니 우울하고 외로워. 조금만 걸어도 무릎이 아파서 외출하지 않다 보니 자연스레 외부 사람들과 만남도 거의 없어. 움직이지 않으면 더욱 무릎이 안 좋아진다고 하니 앞으로는 좀 더 자주 외출하여 사람들과 만나는 기회를 얻어야겠어.,depression
나 최근 가족들이랑 대화 하면 재미가 아예 없어. 예전에는 그래도 형이랑 대화하면 재미있고 좋았거든 최근 안 그래. 작년 끝무렵부터 인거같아 내가 학원을 두 개 더 다니게되서 여유가 없어지고 나서부터인거 같기도 해.,sadness
내년이면 일흔인데 일해 봤자 돈도 못 쓰고 죽을 거라고 생각하니 우울하구먼. 지병도 있어서 오래 못 살 텐데 이 나이에 일해서 뭐 해? 손주들과 놀아주면서 취미나 하나 만들지 뭐.,depression
항상 귀여웠던 동생의 목소리가 점점 굵어져서 혼란스러워. 항상 아기인 줄 알았던 동생이 성인이 되어가는 게 좋지 않아. 참으로 복잡한 감정이야.,anxiety
동료가 보고서를 안 쓰고 있는데 너무 얄미워! 보고서를 열심히 써도 될까 말까인데 그냥 내가 빨리 쓰는 게 낫겠어! 어차피 할 거 마음가짐부터 바로 해야겠어.,anger
요새 미치겄다. 부모님은 항상 점수만 가지고 모든걸 결론짓고. 자기네들도 교사면서. 맞아. 노력해도 안되는걸 나더러 어쩌라는거냐?,anxiety
취업이 너무 안 돼서 우울증이 더 심해졌어. 너무 슬퍼. 모든 회사가 날 원하지 않는 것 같아. 너무 서러워. 친구들을 만나 술을 먹어야겠어.,depression
늦기 전에 진로를 바꾸고 싶은데 자신이 없어. 더 늦어지면 안 되는데 틀린 선택을 할까 봐 걱정돼. 평소 자신 있는 진로를 선택해야겠어. 나를 믿고 용기를 낼 거야.,anxiety
나는 내 친구들이 너무 좋아. 친구들은 항상 내 편이 되어주고 나에게 힘을 줘! 그래서 힘든 일이 있을 때마다 친구들에게 털어놓아. 친구들이 고민을 들어주고 공감해주고 해결방법을 찾으려고 노력해줘.,joy
요즘 애들도 찾아오지 않고 만나는 친구도 없다보니 많이 외로워. 각자 삶이 바쁘겠지만 요즘 스마트폰으로는 전화 거는 것도 어찌 어려운지 먼저 전화해 주면 좋을텐데. 예전에 쓰던 단순한 전화기가 훨씬 편했어.,depression
우리 반에 있는 여자 친구와 심하게 싸웠어. 나 자신이 증오스러워. 부모님께 죄송해서 몸 둘 바를 모르겠어. 부모님께 나의 비겁한 행동에 대해 용서를 구하고 싶어.,anger
나이가 들면서 기억력이 점점 쇠퇴하는 것 같아 혼란스럽네. 젊었을 때는 사소한 것 하나도 다 기억하는 사람이었거든. 기억력 증진에 도움이 될 만한 것들을 시도해 봐야겠어.,anxiety
부모님이 사이가 좋지 않아서 혼란스러워. 난 아무것도 모르겠어.,depression
결혼을 앞둔 여자친구가 수천만 원의 빚이 있대. 명품으로 치장한 게 다 빚이었다니 실망이야. 내게 돈을 맡겨 빚을 상환하자고 하는데 내가 과연 잘 할 수 있을까?,sadness
학교폭력에 대한 고소를 철회하라는 가해자들의 지속적인 협박에 어쩔 수 없이 고소를 철회할 수밖에 없었어. 고소를 통해서 가해자들이 벌을 받았으면 했는데 협박이 두려워서 고소를 철회할 수밖에 없었던 것 같아. 가까운 여행을 좀 다녀와야 할 것 같아. 여행을 통해서 생각을 좀 정리한 후에 고민해 봐야겠어.,anxiety
나는 학교에서 항상 왕따를 당해. 너무 슬퍼. 그런데 고등학교에서는 안 그럴 줄 알았는데 새로운 환경에서도 똑같아. 내가 어떻게 해야 하는 걸까? 내가 새로운 환경에 적응을 어려워하나봐.,sadness
고민 끝에 남편이랑 이혼하기로 했어. 아이들한테 말했는데 걱정이야. 아직 자라고 있는 아이들이 어떻게 받아들일까 걱정돼. 아이들과 충분한 대화를 통해 아이들의 생각을 알고 싶어.,anxiety
이세 계획을 한 지 벌써 구년이 지나도 아직 아이를 낳지 못하고 있어. 여러 방면으로 알아보고 노력해도 이제는 희망이 없어지고 내 아이를 낳지 못할 것 같아. 남편과의 대화가 중요한 것 같아. 혼자서 괴로움에 우두커니 앉아있다 보면 남편이 다가와서 먼저 위로해주고 함께 힘내자고 말해 줘. 꼭 아이가 필요한 것은 아니니 너무 무리하지 말고 스트레스받지 말고 천천히 나아가자고 말해주는 남편이 정말 고마워. 다정하고 좋은 사람이야.,sadness
난 이미 자식들에게 재산을 골고루 나눠주고 편하게 용돈을 받아 쓰고 있어. 재산 나눠 주고 나서 자식들이 더 열심히 찾아오고 용돈도 늘었어. 자식들이 양심껏 자주 찾아와서 기분이 좋아.,joy
내 유튜브 채널에서 영심 할머니네 미용실을 홍보했더니 매출이 엄청나게 올랐대! 내가 이 나이에 유튜브를 하는데 이제는 내 채널이 광고 효과까지 있다는 게 참 뿌듯해. 방앗간을 홍보해 줄까 봐. 사람들이 방앗간을 잘 찾지 않아서 장사가 잘 안되는 것 같더라고.,joy
이번에 원하는 직장에 합격했는데 막상 가려니 기대치보다 직원 대우가 낮은 것 같아서 고민이야. 더 준비해서 대우가 더 좋은 곳으로 지원할까 고민 중이야. 근데 잘 안 될까 봐 좀 조심스러워.,anxiety
남편이 죽고 혼자 노후를 보낼 생각을 하니 우울해져. 아직 시간이 많이 남았지만 그런 생각을 할 때마다 너무 힘들고 우울해. 남편과 많은 시간을 더 함께 하려고 해.,depression
내가 무슨 일을 하고 싶은 건지 모르겠어. 난 아무런 가치가 없어 부모님도 나에게 관심이 없으신 것 같아. 나는 구제 불능인가 봐. 내 진로에 대해 고민해보고 부모님과 진지하게 얘기를 해봐야겠어.,anger
직장서 요즘 하던 프로젝트가 끝나고 나니 마음이 너무 느긋해진 거 같아. 느긋할 땐 음악을 듣거나 산책을 즐기지.,joy
보통 하루에 한 번씩 토한다,depression
